SUBJECT_ID;Q;Q_EFFICIENT;DELTA_Q;Q_OPTIMAL;DELTA_Q_OPTIMAL;FFS;CAP;MEDICAL_STUDENT;PHYSICIAN;SUBJECT_AGE;FEMALE_SUBJECT;PATIENT_SEVERITY;FEMALE_PATIENT;LIABILITY;LIAB_MEDICALSTUDENT;PHYSICIANS_FAMILY
12;4;5;-1;5;-1;1;0;0;0;21;0;2;0;1;0;0
12;7;5;2;7;0;0;1;0;0;21;0;3;0;1;0;0
12;2;3;-1;3;-1;1;0;0;0;21;0;1;1;1;0;0
12;5;5;0;5;0;0;1;0;0;21;0;2;0;1;0;0
12;6;5;1;7;-1;1;0;0;0;21;0;3;1;0;0;0
12;5;5;0;7;-2;0;1;0;0;21;0;3;1;0;0;0
12;3;3;0;3;0;0;1;0;0;21;0;1;1;1;0;0
12;1;3;-2;3;-2;1;0;0;0;21;0;1;0;0;0;0
12;3;5;-2;5;-2;0;1;0;0;21;0;2;0;0;0;0
12;4;5;-1;5;-1;1;0;0;0;21;0;2;1;1;0;0
12;3;3;0;3;0;1;0;0;0;21;0;1;0;1;0;0
12;4;5;-1;5;-1;1;0;0;0;21;0;2;0;0;0;0
12;5;5;0;7;-2;0;1;0;0;21;0;3;0;0;0;0
12;7;5;2;7;0;0;1;0;0;21;0;3;1;1;0;0
12;3;3;0;3;0;0;1;0;0;21;0;1;0;1;0;0
12;3;5;-2;5;-2;0;1;0;0;21;0;2;1;0;0;0
12;6;5;1;7;-1;1;0;0;0;21;0;3;0;0;0;0
12;7;5;2;7;0;1;0;0;0;21;0;3;0;1;0;0
12;1;3;-2;3;-2;0;1;0;0;21;0;1;0;0;0;0
12;4;5;-1;5;-1;1;0;0;0;21;0;2;1;0;0;0
12;6;5;1;5;1;0;1;0;0;21;0;2;1;1;0;0
12;8;5;3;7;1;1;0;0;0;21;0;3;1;1;0;0
13;2;3;-1;3;-1;0;1;0;0;21;1;1;1;0;0;1
13;2;3;-1;3;-1;1;0;0;0;21;1;1;1;0;0;1
13;4;5;-1;5;-1;1;0;0;0;21;1;2;0;1;0;1
13;8;5;3;7;1;0;1;0;0;21;1;3;0;1;0;1
13;3;3;0;3;0;1;0;0;0;21;1;1;1;1;0;1
13;5;5;0;5;0;0;1;0;0;21;1;2;0;1;0;1
13;6;5;1;7;-1;0;1;0;0;21;1;3;1;0;0;1
13;6;5;1;7;-1;1;0;0;0;21;1;3;1;0;0;1
13;2;3;-1;3;-1;0;1;0;0;21;1;1;1;1;0;1
13;2;3;-1;3;-1;1;0;0;0;21;1;1;0;0;0;1
13;4;5;-1;5;-1;0;1;0;0;21;1;2;0;0;0;1
13;3;5;-2;5;-2;1;0;0;0;21;1;2;1;1;0;1
13;2;3;-1;3;-1;1;0;0;0;21;1;1;0;1;0;1
13;4;5;-1;5;-1;1;0;0;0;21;1;2;0;0;0;1
13;7;5;2;7;0;0;1;0;0;21;1;3;0;0;0;1
13;8;5;3;7;1;0;1;0;0;21;1;3;1;1;0;1
13;2;3;-1;3;-1;0;1;0;0;21;1;1;0;1;0;1
13;4;5;-1;5;-1;0;1;0;0;21;1;2;1;0;0;1
